QS,THE
Universiti Kebangsaan Malaysia (UKM),Universiti Kebangsaan Malaysia
Universiti Putra Malaysia (UPM),Universiti Putra Malaysia
Universiti Sains Malaysia (USM),Universiti Sains Malaysia
Universiti Teknologi Malaysia,Universiti Teknologi Malaysia
Universiti Teknologi PETRONAS (UTP),Universiti Teknologi Petronas
Universiti Teknologi MARA - UiTM,Universiti Teknologi MARA
Universiti Utara Malaysia (UUM),Universiti Utara Malaysia
Universiti Malaya (UM),University of Malaya
Universiti Tunku Abdul Rahman (UTAR),Universiti Tunku Abdul Rahman(UTAR)
Universiti Tenaga Nasional (UNITEN),Universiti Tenaga Nasional (UNITEN)
Universiti Malaysia Sarawak (UNIMAS),Universiti Malaysia Sarawak (UNIMAS)
Multimedia University (MMU),Multimedia University
