,Malaysian  THE,,,,,Malaysian QS,,,
1,Universiti Kebangsaan Malaysia,,,,1,Universiti Malaya,,,
2,Universiti Putra Malaysia,,,,2,Universiti Putra Malaysia (UPM),,,
3,Universiti Sains Malaysia,,,,3,Universiti Teknologi Malaysia,,,
4,Universiti Teknologi Malaysia,,,,4,Universiti Kebangsaan Malaysia (UKM),,,
5,Universiti Teknologi Petronas,,,,5,Universiti Sains Malaysia (USM),,,
6,Universiti Teknologi MARA,,,,6,International Islamic University Malaysia (IIUM),,,
7,Universiti Utara Malaysia,,,,7,Universiti Teknologi PETRONAS (UTP),,,
8,University of Malaya,,,,8,Universiti Teknologi MARA - UiTM,,,
9,Universiti Tunku Abdul Rahman (UTAR),,,,9,Multimedia University (MMU),,,
10,Universiti Tenaga Nasional (UNITEN),,,,10,Universiti Utara Malaysia (UUM),,,
11,Universiti Malaysia Sarawak (UNIMAS),,,,11,Universiti Tenaga Nasional (UNITEN),,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,24
